event_id,start_date,end_date,duration_days,num_detections,latitude,longitude,max_frp,avg_frp,total_frp,max_confidence,avg_confidence,year,month,day
202,2017-04-11,2017-04-14,4,2,36.6131,-119.7453,11.8,11.7,23.4,77,74.5,2017,4,11
203,2017-04-03,2017-04-08,6,2,36.5397,-119.988,26.5,17.85,35.7,74,65.5,2017,4,8
204,2017-04-01,2017-04-20,20,4,36.6028,-119.6431,13.1,11.375000000000002,45.50000000000001,73,67.0,2017,4,20
205,2017-04-10,2017-04-12,3,4,36.6115,-119.372,12.1,10.7,42.8,75,65.75,2017,4,10
206,2017-04-10,2017-04-14,5,6,36.7967,-120.7133,391.2,168.83333333333334,1013.0000000000001,100,95.83333333333333,2017,4,10
207,2017-04-11,2017-04-29,19,5,36.8037,-120.0297,20.5,13.819999999999999,69.1,80,71.6,2017,4,11
208,2017-04-03,2017-04-03,1,1,36.7347,-120.1041,5.7,5.7,5.7,60,60.0,2017,4,3
209,2017-04-22,2017-04-23,2,2,36.7922,-118.5776,35.6,29.05,58.1,86,77.0,2017,4,22
210,2017-04-10,2017-04-12,3,6,36.7967,-120.7267,262.9,82.28333333333333,493.7,100,78.5,2017,4,10
211,2017-04-21,2017-04-21,1,1,36.799,-119.5739,18.9,18.9,18.9,81,81.0,2017,4,21
212,2017-04-29,2017-04-29,1,2,36.8194,-120.0312,40.3,26.9,53.8,78,75.0,2017,4,29
213,2017-04-21,2017-04-21,1,1,37.0036,-121.5006,11.7,11.7,11.7,50,50.0,2017,4,21
214,2017-04-04,2017-04-05,2,3,37.0314,-119.331,35.3,25.799999999999997,77.39999999999999,89,78.33333333333333,2017,4,5
215,2017-04-21,2017-04-21,1,1,37.0599,-120.1826,7.7,7.7,7.7,57,57.0,2017,4,21
216,2017-04-03,2017-04-03,1,1,37.2523,-120.4306,10.7,10.7,10.7,75,75.0,2017,4,3
217,2017-04-03,2017-04-03,1,1,37.2568,-120.2842,6.0,6.0,6.0,63,63.0,2017,4,3
218,2017-04-03,2017-04-19,17,3,37.3016,-120.7304,9.4,8.833333333333334,26.5,72,71.0,2017,4,19
219,2017-04-10,2017-04-10,1,2,37.3733,-120.8163,13.0,10.95,21.9,73,62.5,2017,4,10
220,2017-04-12,2017-04-12,1,2,37.4327,-119.7982,6.4,5.1,10.2,63,56.5,2017,4,12
221,2017-04-19,2017-04-28,10,7,37.4941,-120.7039,213.2,71.62857142857142,501.4,100,82.14285714285714,2017,4,28
222,2017-04-05,2017-04-05,1,2,37.5019,-119.9201,17.2,10.95,21.9,79,68.5,2017,4,5
223,2017-04-21,2017-04-28,8,3,37.5232,-120.8883,11.2,9.266666666666666,27.799999999999997,74,68.33333333333333,2017,4,21
224,2017-04-03,2017-04-19,17,2,37.6191,-120.6326,6.1,5.699999999999999,11.399999999999999,56,54.5,2017,4,3
225,2017-04-28,2017-04-28,1,3,37.6394,-120.8228,51.3,38.06666666666667,114.2,89,84.33333333333333,2017,4,28
226,2017-04-08,2017-04-08,1,1,37.6605,-121.1039,6.0,6.0,6.0,51,51.0,2017,4,8
227,2017-04-12,2017-04-12,1,1,37.7549,-120.7859,5.1,5.1,5.1,62,62.0,2017,4,12
228,2017-04-28,2017-04-28,1,1,37.8763,-119.8571,5.0,5.0,5.0,56,56.0,2017,4,28
229,2017-04-19,2017-04-19,1,1,37.9084,-121.2394,5.0,5.0,5.0,55,55.0,2017,4,19
230,2017-04-21,2017-04-21,1,1,37.9514,-121.435,10.0,10.0,10.0,52,52.0,2017,4,21
231,2017-04-03,2017-04-03,1,2,38.0159,-121.2184,15.7,12.0,24.0,80,76.0,2017,4,3
232,2017-04-01,2017-04-01,1,2,38.0786,-120.7658,7.8,7.75,15.5,58,56.5,2017,4,1
233,2017-04-27,2017-04-27,1,1,38.1499,-121.5832,9.3,9.3,9.3,65,65.0,2017,4,27
234,2017-04-04,2017-04-21,18,3,38.1886,-121.3103,19.4,12.633333333333333,37.9,81,73.66666666666667,2017,4,4
