latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
41.0142,-123.441,2013-08-21,Terra,MODIS,226.9,0,284.5,89,2013,8,2013-08-21,21,high,high
41.0145,-123.4334,2013-08-21,Terra,MODIS,181.4,0,284.5,66,2013,8,2013-08-21,21,medium,high
41.015,-123.45,2013-08-21,Terra,MODIS,15.1,0,299.2,52,2013,8,2013-08-21,21,medium,low
41.0152,-123.4608,2013-08-14,Terra,MODIS,558.9,0,316.8,100,2013,8,2013-08-14,14,high,high
41.0153,-123.4912,2013-08-22,Terra,MODIS,16.6,0,292.0,52,2013,8,2013-08-22,22,medium,low
41.0155,-123.4154,2013-08-20,Aqua,MODIS,280.6,0,274.9,100,2013,8,2013-08-20,20,high,high
41.0155,-123.4018,2013-08-20,Terra,MODIS,16.7,0,281.5,97,2013,8,2013-08-20,20,high,low
41.0156,-123.5098,2013-08-21,Terra,MODIS,29.2,0,290.4,65,2013,8,2013-08-21,21,medium,medium-low
41.0163,-123.5042,2013-08-21,Terra,MODIS,35.1,0,290.8,71,2013,8,2013-08-21,21,high,medium-low
41.0168,-123.4736,2013-08-14,Terra,MODIS,71.8,0,297.8,97,2013,8,2013-08-14,14,high,medium-high
41.0171,-123.4928,2013-08-14,Terra,MODIS,96.9,0,288.1,92,2013,8,2013-08-14,14,high,medium-high
41.0171,-123.4902,2013-09-11,Aqua,MODIS,7.4,0,291.2,50,2013,9,2013-09-11,11,medium,low
41.0176,-123.5034,2013-08-20,Terra,MODIS,261.4,0,291.8,72,2013,8,2013-08-20,20,high,high
41.0177,-123.4993,2013-08-21,Aqua,MODIS,52.5,0,296.4,58,2013,8,2013-08-21,21,medium,medium-high
41.0179,-123.4638,2013-08-15,Aqua,MODIS,133.2,0,306.8,100,2013,8,2013-08-15,15,high,high
41.0186,-123.4342,2013-08-11,Terra,MODIS,116.2,0,291.0,60,2013,8,2013-08-11,11,medium,medium-high
41.0187,-123.4699,2013-08-19,Aqua,MODIS,13.1,0,292.2,53,2013,8,2013-08-19,19,medium,low
41.0187,-123.4317,2013-08-20,Aqua,MODIS,216.5,0,278.1,100,2013,8,2013-08-20,20,high,high
41.0197,-123.4089,2013-08-20,Aqua,MODIS,159.4,0,269.2,100,2013,8,2013-08-20,20,high,high
41.0201,-123.4856,2013-08-21,Terra,MODIS,47.4,0,298.6,93,2013,8,2013-08-21,21,high,medium-high
41.0203,-123.4434,2013-08-20,Terra,MODIS,22.0,0,289.3,61,2013,8,2013-08-20,20,medium,medium-low
41.0213,-123.4698,2013-08-15,Terra,MODIS,50.2,0,289.1,96,2013,8,2013-08-15,15,high,medium-high
41.0213,-123.4691,2013-08-17,Aqua,MODIS,30.0,0,300.4,70,2013,8,2013-08-17,17,medium,medium-low
41.0215,-123.4235,2013-08-21,Terra,MODIS,125.9,0,291.4,100,2013,8,2013-08-21,21,high,high
41.0218,-123.4978,2013-08-21,Terra,MODIS,43.3,0,297.8,92,2013,8,2013-08-21,21,high,medium-low
41.0218,-123.4306,2013-08-20,Terra,MODIS,954.2,0,305.9,100,2013,8,2013-08-20,20,high,high
41.0218,-123.4176,2013-08-21,Terra,MODIS,80.3,0,291.0,99,2013,8,2013-08-21,21,high,medium-high
41.0221,-122.0187,2013-12-09,Aqua,MODIS,18.5,0,272.6,70,2013,12,2013-12-09,9,medium,low
41.023,-123.4333,2013-08-19,Aqua,MODIS,144.5,0,304.4,100,2013,8,2013-08-19,19,high,high
41.023,-123.4252,2013-08-20,Aqua,MODIS,432.4,0,289.4,100,2013,8,2013-08-20,20,high,high
41.0231,-123.5056,2013-08-14,Terra,MODIS,127.3,0,288.5,100,2013,8,2013-08-14,14,high,high
41.0232,-123.7493,2013-05-15,Terra,MODIS,42.4,0,275.7,80,2013,5,2013-05-15,15,high,medium-low
41.0233,-123.4577,2013-08-15,Terra,MODIS,122.5,0,295.7,100,2013,8,2013-08-15,15,high,high
41.0233,-123.4177,2013-08-20,Terra,MODIS,756.2,0,299.9,100,2013,8,2013-08-20,20,high,high
41.0234,-123.4574,2013-08-15,Terra,MODIS,155.6,0,295.6,94,2013,8,2013-08-15,15,high,high
41.0237,-123.4636,2013-08-15,Terra,MODIS,126.8,0,295.4,91,2013,8,2013-08-15,15,high,high
41.0238,-123.4894,2013-08-15,Aqua,MODIS,30.4,0,299.8,74,2013,8,2013-08-15,15,high,medium-low
41.0239,-123.5048,2013-08-12,Aqua,MODIS,29.9,0,297.0,67,2013,8,2013-08-12,12,medium,medium-low
41.0241,-123.4935,2013-08-22,Terra,MODIS,22.9,0,292.7,87,2013,8,2013-08-22,22,high,medium-low
41.0243,-123.4881,2013-08-13,Aqua,MODIS,58.4,0,301.1,91,2013,8,2013-08-13,13,high,medium-high
41.0244,-123.4562,2013-08-15,Aqua,MODIS,63.7,0,291.3,100,2013,8,2013-08-15,15,high,medium-high
41.0245,-123.4822,2013-08-11,Aqua,MODIS,89.6,0,296.9,87,2013,8,2013-08-11,11,high,medium-high
41.0247,-123.4985,2013-09-12,Terra,MODIS,9.1,0,290.6,53,2013,9,2013-09-12,12,medium,low
41.0248,-123.4472,2013-08-13,Terra,MODIS,109.8,0,295.7,82,2013,8,2013-08-13,13,high,medium-high
41.025,-123.404,2013-08-20,Terra,MODIS,76.6,0,282.1,100,2013,8,2013-08-20,20,high,medium-high
41.0252,-123.6638,2013-10-16,Aqua,MODIS,14.0,0,294.3,70,2013,10,2013-10-16,16,medium,low
41.0255,-123.4963,2013-08-12,Aqua,MODIS,181.5,0,300.7,100,2013,8,2013-08-12,12,high,high
41.0259,-123.4734,2013-08-13,Aqua,MODIS,61.8,0,302.2,92,2013,8,2013-08-13,13,high,medium-high
41.0261,-123.4165,2013-08-19,Aqua,MODIS,72.4,0,302.4,92,2013,8,2013-08-19,19,high,medium-high
41.0261,-123.4126,2013-08-20,Aqua,MODIS,93.8,0,276.7,100,2013,8,2013-08-20,20,high,medium-high
41.0262,-123.461,2013-08-11,Aqua,MODIS,454.9,0,301.3,100,2013,8,2013-08-11,11,high,high
41.0264,-123.4968,2013-08-17,Aqua,MODIS,27.8,0,300.8,61,2013,8,2013-08-17,17,medium,medium-low
41.0265,-123.4663,2013-08-21,Terra,MODIS,50.1,0,291.1,84,2013,8,2013-08-21,21,high,medium-high
41.0268,-123.6483,2013-10-16,Aqua,MODIS,52.3,0,293.3,89,2013,10,2013-10-16,16,high,medium-high
41.0268,-123.4611,2013-08-21,Terra,MODIS,45.3,0,291.0,82,2013,8,2013-08-21,21,high,medium-low
41.0269,-123.4658,2013-08-15,Aqua,MODIS,41.4,0,301.6,80,2013,8,2013-08-15,15,high,medium-low
41.0271,-123.4325,2013-08-17,Aqua,MODIS,29.1,0,300.4,86,2013,8,2013-08-17,17,high,medium-low
